,Date,FEIcm1,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,Inverse of FEIcm1,Inverse of FEIcm2,Inverse of FEIcm3,Inverse of FEIcm4,Inverse of FEIcm5,Inverse of FEIcm6,Inverse of FEIcm7,Inverse of FEIcm8,Inverse of FEIcm9,Inverse of FEIcm10,Inverse of FEIcm11,Inverse of FEIcm12,Inverse of FEIcm13,Inverse of FEIcm14,Inverse of FEIcm15,Inverse of FEIcm16,Inverse of FEIcm17,Inverse of FEIcm18
44,2023-03-032023-03-062023-03-07,0.0,0.0,0.0,0.09,0.21000000000000002,0.24,0.19,0.14,0.11000000000000001,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.44,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.04,0.06
45,2023-03-062023-03-072023-03-08,0.0,0.0,0.0,0.1,0.21000000000000002,0.24,0.19,0.15000000000000002,0.12,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.44000000000000006,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.04,0.05
46,2023-03-072023-03-082023-03-09,0.0,0.0,0.0,0.1,0.21000000000000002,0.24,0.18,0.14,0.12,0.06,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.43000000000000005,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.05
47,2023-03-082023-03-092023-03-10,0.0,0.0,0.0,0.11000000000000001,0.22000000000000003,0.25,0.19,0.13,0.11,0.06,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.41000000000000003,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.04,0.04,0.05
48,2023-03-092023-03-102023-03-13,0.0,0.0,0.03,0.07,0.17,0.24,0.21000000000000002,0.14,0.13,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.37,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.05,0.05,0.06
49,2023-03-102023-03-132023-03-14,0.0,0.03,0.06,0.15000000000000002,0.25,0.26,0.17,0.18,0.12,0.12000000000000001,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.45999999999999996,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.06,0.07,0.07,0.02
50,2023-03-132023-03-142023-03-15,0.0,0.1,0.03,0.07,0.16,0.25,0.18,0.25,0.17,0.21000000000000002,0.21000000000000002,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.06,0.1,0.12000000000000001,0.05
51,2023-03-142023-03-152023-03-16,0.0,0.15000000000000002,0.12,0.1,0.09,0.22999999999999998,0.17,0.27,0.2,0.25,0.28,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.1,0.16,0.09
52,2023-03-152023-03-162023-03-17,0.0,0.23000000000000004,0.21,0.12000000000000001,0.11,0.22,0.15000000000000002,0.24,0.16,0.22,0.27,0.09999999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.11000000000000001,0.18,0.12000000000000001
53,2023-03-162023-03-172023-03-20,0.0,0.35,0.31,0.21000000000000002,0.22,0.25,0.11,0.17,0.11000000000000001,0.15,0.2,0.060000000000000005,0.02,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.08,0.06,0.09,0.16,0.13
54,2023-03-172023-03-202023-03-21,0.0,0.41000000000000003,0.35,0.26,0.31,0.29000000000000004,0.08,0.12,0.06,0.11000000000000001,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.09,0.08,0.1,0.13,0.12
55,2023-03-202023-03-212023-03-22,0.0,0.43000000000000005,0.39,0.3,0.29000000000000004,0.27,0.06,0.09,0.07,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.060000000000000005,0.1,0.08,0.08,0.11,0.09000000000000001
56,2023-03-212023-03-222023-03-23,0.0,0.36,0.43000000000000005,0.34,0.29,0.26,0.08,0.09,0.07,0.09000000000000001,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.1,0.09,0.08,0.09,0.08
57,2023-03-222023-03-232023-03-24,0.0,0.36,0.47,0.36,0.30000000000000004,0.23,0.08,0.06999999999999999,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12000000000000001,0.11,0.09,0.09,0.08
58,2023-03-232023-03-242023-03-27,0.0,0.39,0.5,0.38,0.30000000000000004,0.22000000000000003,0.060000000000000005,0.06,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.13,0.13,0.11000000000000001,0.1,0.09
59,2023-03-242023-03-272023-03-28,0.0,0.38,0.52,0.38,0.28,0.21000000000000002,0.05,0.06,0.05,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060000000000000005,0.1,0.12,0.13,0.11,0.1,0.09
60,2023-03-272023-03-282023-03-29,0.0,0.32,0.5,0.39,0.28,0.21000000000000002,0.05,0.08,0.06,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.1,0.11,0.1,0.1,0.09
61,2023-03-282023-03-292023-03-30,0.0,0.24,0.45,0.38,0.29000000000000004,0.22000000000000003,0.09,0.11,0.06,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.08,0.1,0.09,0.09,0.09
62,2023-03-292023-03-302023-03-31,0.0,0.18,0.41000000000000003,0.37,0.30000000000000004,0.22000000000000003,0.12000000000000001,0.13,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.08,0.09,0.09,0.09
63,2023-03-302023-03-312023-04-03,0.0,0.16,0.39,0.37,0.31,0.22000000000000003,0.14,0.14,0.07,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.07,0.08,0.09,0.09,0.09
64,2023-03-312023-04-032023-04-04,0.0,0.18,0.39,0.38,0.32,0.22000000000000003,0.13,0.13,0.07,0.07,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.08,0.09,0.09,0.09
65,2023-04-032023-04-042023-04-05,0.0,0.2,0.41000000000000003,0.42000000000000004,0.35,0.23000000000000004,0.1,0.09,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.05,0.08,0.1,0.1,0.09,0.1,0.09
66,2023-04-042023-04-052023-04-06,0.0,0.22000000000000003,0.42000000000000004,0.43000000000000005,0.37,0.25,0.09,0.060000000000000005,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.07,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.09,0.1,0.09
