,Date,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,FEIcm19,Inverse of FEIcm2,Inverse of FEIcm3,Inverse of FEIcm4,Inverse of FEIcm5,Inverse of FEIcm6,Inverse of FEIcm7,Inverse of FEIcm8,Inverse of FEIcm9,Inverse of FEIcm10,Inverse of FEIcm11,Inverse of FEIcm12,Inverse of FEIcm13,Inverse of FEIcm14,Inverse of FEIcm15,Inverse of FEIcm16,Inverse of FEIcm17,Inverse of FEIcm18,Inverse of FEIcm19
47,2023-03-082023-03-092023-03-10,1.1600000000000001,0.38,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.03,0.03,0.0,0.0,0.01,0.13,0.25,0.26,0.21000000000000002,0.15000000000000002,0.12,0.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0
48,2023-03-092023-03-102023-03-13,1.08,0.33999999999999997,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.04,0.04,0.0,0.0,0.04,0.09,0.18999999999999997,0.26,0.23,0.17,0.14,0.1,0.09,0.06,0.01,0.0,0.0,0.0,0.0,0.0
49,2023-03-102023-03-132023-03-14,0.44000000000000006,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.05,0.06,0.02,0.0,0.04,0.07,0.16,0.26,0.28,0.19,0.19,0.13,0.14,0.12000000000000001,0.04,0.0,0.0,0.0,0.0,0.0,0.0
50,2023-03-132023-03-142023-03-15,0.51,0.0,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.09,0.11,0.05,0.0,0.09,0.03,0.07,0.16999999999999998,0.28,0.19,0.25,0.17,0.22000000000000003,0.22000000000000003,0.08,0.0,0.0,0.0,0.0,0.0,0.0
51,2023-03-142023-03-152023-03-16,0.55,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09000000000000001,0.14,0.09,0.0,0.13,0.12,0.1,0.09,0.25,0.17,0.27,0.2,0.25,0.28,0.12000000000000001,0.02,0.0,0.0,0.0,0.0,0.0
52,2023-03-152023-03-162023-03-17,0.43,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.11000000000000001,0.16,0.12000000000000001,0.0,0.21000000000000002,0.21,0.12000000000000001,0.11,0.23,0.15000000000000002,0.24,0.17,0.22,0.27,0.09999999999999999,0.02,0.0,0.0,0.0,0.0,0.0
53,2023-03-162023-03-172023-03-20,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.07,0.06,0.09,0.15000000000000002,0.13,0.0,0.34,0.31,0.21000000000000002,0.22,0.25,0.11,0.17,0.12000000000000001,0.15,0.2,0.060000000000000005,0.02,0.0,0.0,0.0,0.0,0.0
54,2023-03-172023-03-202023-03-21,0.29000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.09,0.08,0.1,0.13,0.12,0.0,0.41000000000000003,0.35,0.26,0.32,0.29000000000000004,0.09,0.13,0.07,0.11000000000000001,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0
55,2023-03-202023-03-212023-03-22,0.33999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.09000000000000001,0.08,0.08,0.11,0.09000000000000001,0.0,0.43000000000000005,0.38,0.31,0.31000000000000005,0.28,0.08,0.1,0.07,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2023-03-212023-03-222023-03-23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.09,0.08,0.09,0.08,0.0,0.36,0.42000000000000004,0.35,0.31,0.27,0.1,0.1,0.07,0.09000000000000001,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
